data_name,cost_p_value_qaoa_bootqa,cost_a12_qaoa_bootqa,rate_p_value_qaoa_bootqa,rate_a12_qaoa_bootqa,cost_p_value_qaoa_qtcs,cost_a12_qaoa_qtcs,rate_p_value_qaoa_qtcs,rate_a12_qaoa_qtcs,cost_p_value_qtcs_bootqa,cost_a12_qtcs_bootqa,rate_p_value_qtcs_bootqa,rate_a12_qtcs_bootqa
gsdtsr,0.5150863534893642,0.5,9.031736040376758e-05,1.0,0.9999773681809917,1.0,3.193222375218491e-05,1.0,0.008545863369418828,0.2,3.147193540781076e-05,1.0
paintcontrol,7.966008837031128e-05,0.0,0.00010849282197162602,0.99,0.9383298124418342,0.65,0.8039516797291391,0.4,3.124371400695749e-05,0.0,3.147193540781076e-05,1.0
